	Tamus_communis	Smilax_aspera	Asparagus_acutifolius	Asparagus_aphyllus	Lonicera_periclymenum	Rubia_pregrina	Phillyrea_angustifolia	Olea_europaea	Osyris_alba	Myrtus_communis	Daphne_gnidium	Pistacia_lentiscus	Rhamnus_lycioides	Rubus_ulmifolius	Crataegus_monogyna	Pyrus_bourgaeana
Cyanopica_cyanus	1	0	0	0	0	0	1	1	0	1	0	1	1	1	1	1
Turdus_philomelos	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0
Turdus_merula	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
Ficedula_hypoleuca	0	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0
Muscicapa_striata	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Luscinia_megarhynchos	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Phoenicurus_phoenicurus	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
Saxicola_torquata	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
Erithacus_rubecula	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0
Sturnus_unicolor	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0
Sylvia_undata	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Sylvia_cantillans	0	0	0	0	1	0	1	0	0	1	1	1	1	1	0	0
Sylvia_melanocephala	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0
Sylvia_communis	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0
Sylvia_hortensis	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0
Sylvia_borin	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0
Sylvia_atricapilla	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Fringilla_coelebs	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0
