	Prunus_mahaleb	Crataegus_monogyna	Juniperus_phoenicea	Berberis_vulgaris	Hedera_helix	Rosa_canina	Lonicera_arborea	Juniperus_sabina	Taxus_baccata	Juniperus_communis	Daphne_laureola	Rhamnus_myrtifolius	Rubus_ulmifolius	Sorbus_aria	Amelanchier_ovalis	Arum_italicum	Rubia_peregrina	Rhamnus_saxatilis	Prunus_prostrata	Cotoneaster_granatensis	Juniperus_oxycedrus	Lonicera_splendida	Lonicera_etrusca	Paeonia_officinalis	Polygonatum_odoratum
Turdus_viscivorus	829	121	115	10	8	22	1	8	5	13	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0
Phoenicurus_ochruros	941	0	0	22	1	0	2	0	16	0	0	9	2	0	1	0	0	1	0	0	0	0	0	0	0
Turdus_merula	583	111	10	26	141	50	7	4	10	11	0	5	0	0	0	3	0	0	2	1	0	0	0	1	1
Fringilla_coelebs	783	68	0	12	2	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Turdus_torquatus	0	375	183	95	2	58	66	62	11	9	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
Parus_ater	391	4	0	0	0	0	8	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	1	0	0
Turdus_iliacus	0	152	2	37	7	9	1	9	6	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Erithacus_rubecula	175	2	0	16	4	0	0	0	5	0	1	0	1	0	2	1	1	1	1	1	0	0	0	0	0
Sylvia_communis	182	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Sylvia_atricapilla	62	6	0	8	84	0	4	0	0	0	10	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Garrulus_glandarius	135	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phoenicurus_phoenicurus	111	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Turdus_pilaris	0	74	8	12	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coccothraustes_coccothraustes	3	67	8	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parus_major	41	27	0	8	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Columba_palumbus	55	12	3	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parus_caeruleus	61	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parus_cristatus	37	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corvus_corone	19	10	3	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sitta_europaea	33	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sylvia_melanocephala	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sylvia_cantillans	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dendrocopos_major	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serinus_serinus	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pica_pica	0	13	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Turdus_philomelos	0	6	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Sylvia_borin	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serinus_citinella	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Loxia_curvirostra	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sylvia_conspicillata	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Ficedula_hypoleuca	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Corvus_corax	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Emberiza_cia	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
