,Columba.palumbus,Corvus.corax,Corvus.corone,Dendrocopos.major,Erithacus.rubecula,Ficedula.hypoleuca,Phoenicurus.ochruros,Phoenicurus.phoenicurus,Pica.pica,Sylvia.atricapilla,Sylvia.borin,Sylvia.cantillans,Sylvia.communis,Sylvia.conspicillata,Sylvia.melanocephala,Turdus.iliacus,Turdus.merula,Turdus.philomelos,Turdus.pilaris,Turdus.torquatus,Turdus.viscivorus,Garrulus.glandarius,Parus.ater,Sitta.europaea,Emberiza.cia,Fringilla.coelebs,Parus.caeruleus,Parus.cristatus,Parus.major,Serinus.citinella,Serinus.serinus,Coccothraustes.coccothraustes,Loxia.curvirostra,Vulpes.vulpes,Meles.meles,Martes.foina
Amelanchier.ovalis,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,1,1
Arum.italicum,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Berberis.vulgaris,0,0,1,0,25,0,85,4,2,11,3,10,0,0,1,31,21,0,6,98,7,1,4,0,0,16,4,12,11,0,0,0,0,1,0,1
Cotoneaster.granatensis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crataegus.monogyna,3,2,4,0,36,0,49,0,6,12,0,4,0,0,0,176,100,9,58,259,141,38,66,15,1,112,12,35,71,0,7,38,4,1,1,1
Daphne.laureola,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0
Hedera.helix,0,0,0,0,4,0,1,0,0,56,0,0,0,0,0,3,68,0,0,2,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Juniperus.communis,2,0,0,0,2,0,2,0,0,0,0,1,0,0,0,1,15,0,0,6,9,0,1,0,0,1,0,7,0,0,0,0,0,1,0,0
Juniperus.oxycedrus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Juniperus.phoenicea,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,2,18,0,8,182,118,3,3,0,0,0,0,0,0,0,0,8,0,1,1,1
Juniperus.sabina,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,6,3,0,0,55,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Lonicera.arborea,0,0,0,0,3,0,28,0,0,10,0,2,0,0,0,1,9,0,0,41,2,2,9,1,0,10,0,0,17,0,0,0,0,1,0,1
Lonicera.etrusca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lonicera.splendida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Paeonia.officinalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polygonatum.odoratum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prunus.mahaleb,7,0,2,8,158,1,638,65,0,35,4,28,132,2,29,0,310,0,0,0,398,93,285,30,0,389,58,31,39,6,5,3,0,0,0,0
Prunus.prostrata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rhamnus.myrtifolius,0,0,0,0,0,0,7,3,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhamnus.saxatilis,0,0,0,0,1,0,8,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0
Rosa.canina,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,4,38,1,9,29,8,0,1,0,0,2,2,3,5,0,0,4,5,1,1,1
Rubia.peregrina,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubus.ulmifolius,0,0,0,0,1,1,2,0,0,3,0,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Sorbus.aria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Taxus.baccata,2,0,0,0,10,0,38,0,0,0,0,0,0,0,0,5,45,0,0,11,58,0,12,20,0,3,2,4,7,0,0,8,0,1,0,1
