Class,Order,Family,Genus,Species,Body_mass,Main_habitat,Main_diet,Foraging,Nocturnal,Native
Aves,Passeriformes,Fringillidae,Coccothraustes,Coccothraustes.coccothraustes,46.0,forest,other,solitary,0,1
Aves,Columbiformes,Columbidae,Columba,Columba.palumbus,459.5,forest,fruit,solitary,0,1
Aves,Passeriformes,Corvidae,Corvus,Corvus.corax,1083.9,other,other,social,0,1
Aves,Passeriformes,Corvidae,Corvus,Corvus.corone,520.0,other,other,social,0,1
Aves,Piciformes,Picidae,Dendrocopos,Dendrocopos.major,73.8,forest,other,solitary,0,1
Aves,Passeriformes,Emberizidae,Emberiza,Emberiza.cia,22.3,other,other,solitary,0,1
Aves,Passeriformes,Muscicapidae,Erithacus,Erithacus.rubecula,15.8,forest,fruit,solitary,0,1
Aves,Passeriformes,Muscicapidae,Ficedula,Ficedula.hypoleuca,14.1,forest,fruit,solitary,0,1
Aves,Passeriformes,Fringillidae,Fringilla,Fringilla.coelebs,19.6,forest,other,social,0,1
Aves,Passeriformes,Corvidae,Garrulus,Garrulus.glandarius,160.4,forest,fruit,solitary,0,1
Aves,Passeriformes,Fringillidae,Loxia,Loxia.curvirostra,36.4,forest,other,social,0,1
Aves,Passeriformes,Paridae,Parus,Parus.ater,8.5,forest,other,social,0,1
Aves,Passeriformes,Paridae,Parus,Parus.caeruleus,9.7,forest,other,social,0,1
Aves,Passeriformes,Paridae,Parus,Parus.cristatus,10.5,forest,other,social,0,1
Aves,Passeriformes,Paridae,Parus,Parus.major,17.2,forest,other,social,0,1
Aves,Passeriformes,Muscicapidae,Phoenicurus,Phoenicurus.ochruros,16.4,other,fruit,solitary,0,1
Aves,Passeriformes,Muscicapidae,Phoenicurus,Phoenicurus.phoenicurus,15.0,other,fruit,solitary,0,1
Aves,Passeriformes,Corvidae,Pica,Pica.pica,166.0,other,other,social,0,1
Aves,Passeriformes,Fringillidae,Serinus,Serinus.citrinella,12.0,other,other,social,0,1
Aves,Passeriformes,Fringillidae,Serinus,Serinus.serinus,11.2,other,other,social,0,1
Aves,Passeriformes,Sittidae,Sitta,Sitta.europaea,19.6,forest,other,solitary,0,1
Aves,Passeriformes,Muscicapidae,Sylvia,Sylvia.atricapilla,17.5,forest,fruit,solitary,0,1
Aves,Passeriformes,Muscicapidae,Sylvia,Sylvia.borin,18.7,forest,fruit,solitary,0,1
Aves,Passeriformes,Muscicapidae,Sylvia,Sylvia.cantillans,10.9,forest,fruit,solitary,0,1
Aves,Passeriformes,Muscicapidae,Sylvia,Sylvia.communis,16.9,forest,fruit,solitary,0,1
Aves,Passeriformes,Muscicapidae,Sylvia,Sylvia.conspicillata,9.5,forest,fruit,solitary,0,1
Aves,Passeriformes,Muscicapidae,Sylvia,Sylvia.melanocephala,11.5,forest,fruit,solitary,0,1
Aves,Passeriformes,Muscicapidae,Turdus,Turdus.iliacus,62.9,forest,fruit,social,0,1
Aves,Passeriformes,Muscicapidae,Turdus,Turdus.merula,84.0,forest,fruit,solitary,0,1
Aves,Passeriformes,Muscicapidae,Turdus,Turdus.philomelos,65.8,forest,fruit,social,0,1
Aves,Passeriformes,Muscicapidae,Turdus,Turdus.pilaris,95.9,forest,fruit,social,0,1
Aves,Passeriformes,Muscicapidae,Turdus,Turdus.torquatus,111.9,forest,fruit,social,0,1
Aves,Passeriformes,Muscicapidae,Turdus,Turdus.viscivorus,100.1,forest,fruit,social,0,1
Mammalia,Carnivora,Canidae,Vulpes,Vulpes.vulpes,6000.0,other,other,solitary,1,1
Mammalia,Carnivora,Mustelidae,Meles,Meles.meles,12000.0,forest,other,solitary,1,1
Mammalia,Carnivora,Mustelidae,Martes,Martes.foina,1800.0,forest,other,solitary,1,1
