Class,Order,Family,Genus,Species,Body_mass,Main_habitat,Main_diet,Foraging,Nocturnal,Native
Aves,Passeriformes,Muscicapidae,Sylvia,Sylvia.atricapilla,17.5,forest,fruit,solitary,0,1
Aves,Passeriformes,Muscicapidae,Sylvia,Sylvia.borin,18.7,forest,fruit,solitary,0,1
Aves,Passeriformes,Muscicapidae,Erithacus,Erithacus.rubecula,15.8,forest,fruit,solitary,0,1
Aves,Passeriformes,Muscicapidae,Sylvia,Sylvia.melanocephala,11.5,other,fruit,solitary,0,1
Aves,Passeriformes,Muscicapidae,Turdus,Turdus.merula,84.0,forest,fruit,solitary,0,1
Aves,Passeriformes,Muscicapidae,Turdus,Turdus.philomelos,65.8,forest,fruit,social,0,1
Aves,Passeriformes,Muscicapidae,Sylvia,Sylvia.communis,16.9,forest,fruit,solitary,0,1
Aves,Passeriformes,Muscicapidae,Sylvia,Sylvia.hortensis,25.0,forest,fruit,solitary,0,1
Aves,Passeriformes,Muscicapidae,Sylvia,Sylvia.cantillans,10.9,forest,fruit,solitary,0,1
Aves,Passeriformes,Muscicapidae,Ficedula,Ficedula.hypoleuca,14.1,forest,other,solitary,0,1
Aves,Passeriformes,Muscicapidae,Phoenicurus,Phoenicurus.phoenicurus,15.0,other,fruit,solitary,0,1
Aves,Passeriformes,Muscicapidae,Sylvia,Sylvia.undata,9.0,other,other,solitary,0,1
Aves,Passeriformes,Muscicapidae,Saxicola,Saxicola.torquata,14.9,other,other,solitary,0,1
Aves,Passeriformes,Corvidae,Cyanopica,Cyanopica.cyanus,110.6,other,other,social,0,1
Aves,Passeriformes,Muscicapidae,Luscinia,Luscinia.megarhynchos,22.2,forest,other,solitary,0,1
Aves,Passeriformes,Muscicapidae,Muscicapa,Muscicapa.striata,15.2,forest,other,solitary,0,1
Aves,Passeriformes,Sturnidae,Sturnus,Sturnus.unicolor,62.0,other,fruit,social,0,1
