Class,Order,Family,Genus,Species,Fruit_diameter,Fruit_length,Fleshy_fruit,Seed_mass,Plant_height,Habitat,Native,Growth_form
Magnoliopsida,Sapindales,Anacardiaceae,Pistacia,Pistacia.lentiscus,5.5,5.2,Yes,0.025,2.0,climax,1,tree
Magnoliopsida,Scrophulariales,Oleaceae,Olea,Olea.europaea,8.8,11.8,Yes,0.221,2.8,climax,1,tree
Magnoliopsida,Scrophulariales,Oleaceae,Phillyrea,Phillyrea.angustifolia,5.2,5.2,Yes,0.029,2.0,climax,1,tree
Magnoliopsida,Rhamnales,Rhamnaceae,Rhamnu,Rhamnus.lycioides,6.1,5.7,Yes,0.012,1.0,climax,1,shrub
Liliopsida,Dioscoreales,Smilacaceae,Smilax,Smilax.aspera,7.3,7.3,Yes,0.026,1.5,climax,1,shrub
Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus.ulmifolius,11.8,13.1,Yes,0.002,1.5,climax,1,liana
Magnoliopsida,Myrtales,Myrtaceae,Myrtus,Myrtus.communis,8.5,11.5,Yes,0.005,1.5,climax,1,shrub
Magnoliopsida,Euphorbiales,Thymelaeaceae,Daphne,Daphne.gnidium,5.0,6.2,Yes,0.009,0.8,climax,1,shrub
Magnoliopsida,Rubiales,Rubiaceae,Rubia,Rubia.pregrina,6.1,5.8,Yes,0.009,1.0,climax,1,liana
Magnoliopsida,Santalales,Santalaceae,Osyris,Osyris.alba,9.4,7.5,Yes,0.080,1.7,climax,1,shrub
Magnoliopsida,Rosales,Rosaceae,Crataegus,Crataegus.monogyna,9.3,12.1,Yes,0.124,4.0,climax,1,tree
Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,Lonicera.periclymenum,6.8,7.9,Yes,0.006,2.0,climax,1,liana
Liliopsida,Asparagales,Asparagaceae,Asparagus,Asparagus.acutifolius,7.1,6.5,Yes,0.011,1.0,climax,1,liana
Liliopsida,Dioscoreales,Dioscoreaceae,Tamus,Tamus.communis,10.8,11.8,Yes,0.019,0.8,climax,1,liana
Magnoliopsida,Rosales,Rosaceae,Pyrus,Pyrus.bourgaeana,23.3,20.5,Yes,0.030,2.7,climax,1,tree
Liliopsida,Asparagales,Asparagaceae,Asparagus,Asparagus.aphyllus,7.4,6.5,Yes,0.0587,1.0,climax,1,liana
