	Tamus_communis	Smilax_aspera	Asparagus_aphyllus	Asparagus_acutifolius	Lonicera_periclymenum	Rubia_pregrina	Phillyrea_angustifolia	Olea_europaea	Osyris_alba	Myrtus_communis	Daphne_gnidium	Pistacia_lentiscus	Rhamnus_lycioides	Rubus_ulmifolius	Crataegus_monogyna	Pyrus_bourgaeana
Cyanopica_cyanus	3	0	0	0	0	0	0.2	0.6	0	1	0	12	0.1	0.3	0.5	8
Turdus_philomelos	0	0	0.1	0	0	0	0.2	20	2	4	0	14	0	0	0	0
Turdus_merula	7	1	0.1	0.1	1	0.1	37	30	1	5	0	115	6	9	1	1
Ficedula_hypoleuca	0	0.1	0	0	0	0	6	0	0	0	0	41	2	0.1	0	0
Muscicapa_striata	0	0	0	0	0	0	0	0	0	0	0	11	1	0.2	0	0
Luscinia_megarhynchos	0	0	0	0	0	0	0	0	0	0	0	5	0.7	0.3	0	0
Phoenicurus_phoenicurus	0	0	0	0	0	0	0	0	0	0	0.1	9	0.5	0.5	0	0
Saxicola_torquata	0	0	0	0	0	0	0	1	0	0.1	0	5	0	0	0	0
Erithacus_rubecula	0	0.8	0.3	1	0	0	0.2	31	0	26	0.5	317	2.6	0.5	0	0
Sturnus_unicolor	0	0	0	0	0	0	0	15	0	2	0	61	0	0	1	0
Sylvia_undata	0	0	0	0	0	0	0	0	0	0.3	0	14	0	0	0	0
Sylvia_cantillans	0	0	0	0	0.2	0	3	0	0	0.1	3	21	3	0.9	0	0
Sylvia_melanocephala	0.1	2	0.1	2	0.7	0	14	2	0.4	2	16	49	48	8	0	0
Sylvia_communis	0	0	0	0	0	0	6	0	0	0	2	17	4	0.7	0	0
Sylvia_hortensis	0	0.1	0	0	0	0	3	0	0	0	0	9	0	0.4	0	0
Sylvia_borin	1	10	0.3	0.8	2	38	15	0.6	0.7	0	52	336	85	14	0	0
Sylvia_atricapilla	0	15	0.6	15	1	27	96	146	0.6	25	71	1370	21	4	1	1
Fringilla_coelebs	0	0	0	0	0	0	0	2	0	0	0	12	0	0	0	0
