# Nava Correhuelas. Node attributes for the animal and plant modes.
# Variables:
# class, order, family, genus, species: higher taxonomic level and species
# spcode, code for species name
# w, body mass (g)
# g, gape width for animals; fruit diameter for plants, mm
# f, proportion of fruits in diet
# a, local abundance (no. birds/ha)
# geog, geographic area (no. localities with presence in 19 sites in S Spain)
# ph, phenology; no. months present in the area or with ripe fruits available
# pp, ps, pa, pu, proportions of forbidden interactions due to plehnological
#       mismatch, size mismatch, accesibility constraints, and unknown causes
# hab, main habitat type
# diet, diet category
# forag, foraging mode
# noct, is nocturnal?
# nativ, is native? (0 codes non native species)
# frlen, fruit length, mm
# fleshy, is the fruit fleshy?
# seedm, seed dry mass (mg)
# height, plant height (m)
# grwform, growth form
#
class,order,family,genus,species,spcode,w,g,f,a,geog,ph,pp,ps,pa,pu,hab,diet,forag,noct,nativ,frlen,fleshy,seedm,height,grwform
Magnoliopsida,Rosales,Rosaceae,Amelanchier,Amelanchier.ovalis,Amova,NA,7.3,NA,0.00010,4,1,0.3333,NA,0.1515,0.4242,climax,NA,NA,NA,1,7.0,Yes,0.003,1.9,shrub
Liliopsida,Arales,Araceae,Arum,Arum.italicum,Arita,NA,9.2,NA,0.66000,7,0.5,0.2121,NA,0.1515,0.5758,climax,NA,NA,NA,1,11.1,Yes,0.038,0.3,herb
Magnoliopsida,Ranunculales,Berberidaceae,Berberis,Berberis.vulgaris,Bevul,NA,5.5,NA,14.52000,14,3,0.2424,NA,0.1212,0.2121,climax,NA,NA,NA,1,10.4,Yes,0.020,1.2,shrub
Magnoliopsida,Rosales,Rosaceae,Cotoneaster,Cotoneaster.granatensis,Cogra,NA,7.0,NA,0.14500,6,1,0.3030,NA,0.0909,0.5455,climax,NA,NA,NA,1,7.5,Yes,0.025,1.3,shrub
Magnoliopsida,Rosales,Rosaceae,Crataegus,Crataegus.monogyna,Crmon,NA,9.3,NA,0.84500,14,6,0.1515,NA,0.1515,0.0303,climax,NA,NA,NA,1,12.1,Yes,0.124,4.0,tree
Magnoliopsida,Euphorbiales,Thymelaeaceae,Daphne,Daphne.laureola,Dalau,NA,6.4,NA,0.00011,10,1,0.2727,NA,0.2424,0.3636,climax,NA,NA,NA,1,9.4,Yes,0.022,1.2,shrub
Magnoliopsida,Apiales,Araliaceae,Hedera,Hedera.helix,Hehel,NA,8.4,NA,1.96000,6,3,0.2424,NA,0.0606,0.4545,climax,NA,NA,NA,1,7.2,Yes,0.016,3.0,liana
Gymnospermae,Pinopsida,Cupressaceae,Juniperus,Juniperus.communis,Jucom,NA,8.6,NA,11.57500,13,10,0.3333,NA,NA,0.5152,climax,NA,NA,NA,1,8.2,Yes,0.011,0.6,shrub
Gymnospermae,Pinopsida,Cupressaceae,Juniperus,Juniperus.oxycedrus,Juoxy,NA,12.9,NA,0.00001,4,2,0.2424,NA,0.3939,0.3333,climax,NA,NA,NA,1,11.3,Yes,0.062,2.8,tree
Gymnospermae,Pinopsida,Cupressaceae,Juniperus,Juniperus.phoenicea,Jupho,NA,11.5,NA,0.30000,8,7,0.1515,NA,0.3636,0.2121,climax,NA,NA,NA,1,9.9,Yes,0.047,0.6,shrub
